,accuracy,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro
sentences,0.8229166666666666,0.8212009595680101,0.8229166666666666,0.8267758026594234,0.8229166666666666,0.8229166666666666,0.8229166666666666
ljl,0.6246973365617433,0.6311214579196884,0.6246973365617433,0.6266712546600561,0.6246973365617433,0.6407826936744847,0.6246973365617433
french_difficulty,0.5229166666666667,0.5125799021550127,0.5229166666666667,0.5282250487849239,0.5229166666666667,0.5229166666666667,0.5229166666666667
